01.13-0-00
01.14-8-00
01.70-9-00
02.20-9-01
05.00-3-01
05.00-3-02
06.00-0-01
06.00-0-02
06.00-0-03
07.10-3-01
07.10-3-02
07.21-9-01
07.21-9-02
07.22-7-01
07.22-7-02
07.23-5-01
07.23-5-02
07.24-3-01
07.24-3-02
07.25-1-00
07.29-4-01
07.29-4-02
07.29-4-03
07.29-4-04
07.29-4-05
08.10-0-01
08.10-0-02
08.10-0-03
08.10-0-04
08.10-0-05
08.10-0-06
08.10-0-07
08.10-0-08
08.10-0-09
08.10-0-10
08.10-0-99
08.91-6-00
08.92-4-02
08.93-2-00
08.99-1-01
08.99-1-02
08.99-1-03
08.99-1-99
09.10-6-00
09.90-4-01
09.90-4-02
09.90-4-03
10.62-7-00
10.71-6-00
10.72-4-01
10.72-4-02
15.29-7-00
19.31-4-00
19.32-2-00
20.19-3-01
20.92-4-01
20.92-4-02
20.92-4-03
25.50-1-01
25.50-1-02
35.11-5-00
35.11-5-01
35.11-5-02
35.12-3-00
35.13-1-00
35.14-0-00
35.20-4-01
35.20-4-02
35.30-1-00
47.89-0-06
47.89-0-09
49.29-9-03
49.29-9-04
50.11-4-01
50.11-4-02
50.12-2-01
50.12-2-02
50.21-1-01
50.21-1-02
50.22-0-01
50.22-0-02
50.30-1-01
50.30-1-02
50.30-1-03
50.91-2-01
50.91-2-02
50.99-8-01
51.11-1-00
51.12-9-01
51.12-9-99
51.20-0-00
51.30-7-00
52.31-1-01
52.31-1-02
52.31-1-03
52.32-0-00
52.39-7-00
52.39-7-01
52.39-7-99
53.10-5-01
53.10-5-02
53.20-2-01
53.20-2-02
64.10-7-00
64.23-9-00
74.90-1-02
77.19-5-01
80.11-1-01
80.11-1-02
80.12-9-00
80.20-0-00
80.20-0-01
80.20-0-02
80.30-7-00
84.11-6-00
84.12-4-00
84.13-2-00
84.21-3-00
84.22-1-00
84.23-0-00
84.24-8-00
84.25-6-00
84.30-2-00
85.99-6-02
88.00-6-00
90.01-9-05
92.00-3-01
92.00-3-02
92.00-3-99
93.29-8-03
94.91-0-00
94.92-8-00
94.99-5-00
96.03-3-01
96.03-3-02
96.03-3-03
96.03-3-04
96.03-3-05
96.03-3-99
96.09-2-04
96.09-2-05
96.09-2-06
96.09-2-07
99.00-8-00
